OrphaCode,Name,Prevalence,ExpertLink
168544,"Spondylometaphyseal dysplasia, Golden type",3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=168544
1147,Sheldon-Hall syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1147
246,Postaxial acrofacial dysostosis,30.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=246
1770,XY type gonadal dysgenesis-associated anomalies syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1770
1775,Dyskeratosis congenita,0.1 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1775
1764,Familial dysautonomia,0.0 (Europe); 18.5 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1764
235,Dubowitz syndrome,0.2 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=235
239,Dyggve-Melchior-Clausen disease,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=239
1672,Diencephalic syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1672
833,Encephalopathy due to sulfite oxidase deficiency,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=833
167714,Unclassified acute myeloid leukemia,0.49 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=167714
167635,Scleromyxedema,250.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=167635
765,Pyruvate dehydrogenase deficiency,0.0 (Worldwide); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=765
395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=395
408,Isolated glycerol kinase deficiency,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=408
148,Multiple carboxylase deficiency,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=148
147,Carbamoyl-phosphate synthetase 1 deficiency,0.0 (Worldwide); 0.19 (Finland); 0.0 (Worldwide); 0.077 (United States); 0.125 (Japan),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=147
23,Argininosuccinic aciduria,0.46 (United States); 0.69 (Finland); 1.0 (Europe); 1.05 (Austria),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=23
45,Adenosine monophosphate deaminase deficiency,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=45
226,Dihydropteridine reductase deficiency,150.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=226
217,Isolated Dandy-Walker malformation,1.0 (Europe); 2.1 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=217
1556,Cutis marmorata telangiectatica congenita,300.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1556
1538,Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,4.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1538
1496,Corpus callosum agenesis-neuronopathy syndrome,0.0 (Worldwide); 47.0 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1496
417,Neonatal severe primary hyperparathyroidism,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=417
2233,Hypogonadism-mitral valve prolapse-intellectual disability syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2233
2248,Hypoplastic left heart syndrome,18.0 (Worldwide); 16.2 (United States); 15.1 (Europe); 49.1 (Austria); 29.1 (Belgium); 56.8 (Croatia); 21.3 (Denmark); 11.8 (France); 23.8 (Germany); 19.9 (Hungary); 18.1 (Ireland); 9.9 (Italy); 49.8 (Malta); 5.8 (Netherlands); 16.4 (Norway); 9.2 (Poland); 5.5 (Portugal); 12.5 (Switzerland); 16.6 (United Kingdom); 22.3 (Ukraine); 1.9 (Spain); 0.0 (Worldwide); 8.0 (China); 11.6 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2248
446,Neonatal hemochromatosis,35.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=446
2135,Cutaneous mastocytosis-deafness-microtia syndrome,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2135
2140,Congenital diaphragmatic hernia,30.0 (Worldwide); 21.2 (Europe); 39.3 (Austria); 14.6 (Belgium); 11.4 (Croatia); 19.8 (Denmark); 23.6 (France); 5.9 (Germany); 23.2 (Hungary); 21.7 (Ireland); 22.6 (Italy); 49.8 (Malta); 29.2 (Netherlands); 22.9 (Norway); 8.2 (Poland); 18.9 (Portugal); 9.4 (Spain); 38.9 (Switzerland); 19.7 (United Kingdom); 22.3 (Ukraine); 33.0 (United States); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2140
2185,Congenital hydrocephalus,59.0 (United States); 0.0 (Worldwide); 46.5 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2185
2116,Hartnup disease,4.2 (Worldwide); 3.3 (Australia); 3.85 (United States); 1.9 (Specific population); 4.0 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2116
2118,Hawkinsinuria,0.0 (Worldwide); 5.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2118
351,Galactosialidosis,0.0 (Worldwide); 0.14 (Sweden); 100.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=351
2020,Congenital fiber-type disproportion myopathy,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2020
2053,Freeman-Sheldon syndrome,0.0 (Worldwide); 100.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2053
295,Fetal parvovirus syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=295
1933,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1933
1880,Ebstein malformation of the tricuspid valve,"1.25 (Europe); 3.5 (Europe); 7.8 (France); 19.5 (Austria); 3.1 (Belgium); 16.5 (Croatia); 18.2 (Denmark); 11.6 (Germany); 1.1 (Hungary); 3.6 (Ireland); 4.1 (Italy); 24.1 (Malta); 5.7 (Netherlands); 1.0 (Poland); 0.6 (Spain); 27.2 (Switzerland); 3.5 (United Kingdom); 6.5 (Ukraine); 4.7 (Taiwan, Province of China); 6.0 (United States); 6.6 (Specific population); 9.8 (Norway)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1880
255,Dopa-responsive dystonia,0.3 (Europe); 0.5 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=255
1915,Fetal alcohol syndrome,1.6 (Europe); 9.8 (Austria); 5.8 (Belgium); 14.8 (Germany); 1.1 (Hungary); 8.1 (Ireland); 1.4 (Italy); 1.6 (Norway); 13.2 (Switzerland); 1.9 (United Kingdom); 6800.0 (South Africa); 13.6 (France); 0.5 (Poland); 1.2 (Spain); 80.8 (Ukraine); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1915
1885,Isolated ectopia lentis,0.0 (Worldwide); 90.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1885
1851,Multicystic dysplastic kidney,23.26 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1851
660,Omphalocele,11.7 (Europe); 0.0 (Europe); 19.6 (Austria); 0.0 (Austria); 14.6 (Belgium); 0.0 (Belgium); 10.9 (Croatia); 0.0 (Croatia); 19.8 (Denmark); 0.0 (Denmark); 13.6 (France); 0.0 (France); 11.6 (Germany); 0.0 (Germany); 6.6 (Hungary); 0.0 (Hungary); 25.3 (Ireland); 0.0 (Ireland); 11.0 (Italy); 0.0 (Italy); 48.2 (Malta); 0.0 (Malta); 22.9 (Netherlands); 0.0 (Netherlands); 11.2 (Norway); 0.0 (Norway); 12.1 (Poland); 0.0 (Poland); 6.9 (Spain); 0.0 (Spain); 12.3 (Switzerland); 0.0 (Switzerland); 11.6 (United Kingdom); 0.0 (United Kingdom); 16.2 (Ukraine); 0.0 (Ukraine); 10.0 (Czech Republic); 0.0 (Czech Republic); 6.3 (Japan); 0.0 (Japan); 15.2 (China); 18.6 (United States); 0.0 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=660
635,Neuroblastoma,11.0 (Europe); 5.8 (Europe); 2.5 (United States); 14.0 (Germany); 1.26 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=635
2612,Linear nevus sebaceus syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2612
2635,Metatropic dysplasia,81.0 (Worldwide); 0.0 (Worldwide); 0.2 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2635
2655,Thanatophoric dysplasia,3.5 (Europe); 0.0 (Europe); 2.8 (France); 3.5 (Italy); 1.7 (Sweden); 3.8 (Denmark); 8.0 (Ireland); 4.7 (Latin America); 4.3 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2655
606,Proximal myotonic myopathy,1.0 (Germany); 1.0 (Europe); 10.0 (Finland); 0.17 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=606
705,Pendred syndrome,7.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=705
2801,Juvenile Paget disease,50.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2801
884,Tetrasomy 12p syndrome,4.0 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=884
2785,Osteopetrosis with renal tubular acidosis,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2785
2744,Horizontal gaze palsy with progressive scoliosis,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2744
2746,Opsismodysplasia,30.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2746
2971,Peroxisomal acyl-CoA oxidase deficiency,40.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2971
2970,Prune belly syndrome,2.4 (Italy); 0.38 (United Kingdom); 3.42 (Canada); 3.8 (United States); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2970
744,Proteus syndrome,0.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=744
2903,Familial spontaneous pneumothorax,54.64 (Finland),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2903
2901,Neuralgic amyotrophy,1.64 (United States); 0.0 (Europe); 3.0 (United Kingdom); 30.0 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2901
718,Isolated Pierre Robin sequence,0.0 (United Kingdom); 8.0 (France); 0.0 (France); 12.4 (Germany); 3.5 (Denmark); 0.0 (Denmark); 4.5 (Sweden); 0.0 (Sweden); 5.9 (United Kingdom); 7.9 (United States); 0.0 (United States); 5.0 (Europe); 0.0 (Europe); 6.4 (Netherlands); 18.8 (Australia),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=718
290,Congenital rubella syndrome,0.0 (Worldwide); 0.29 (France); 0.24 (Germany); 0.8 (Italy); 0.64 (Netherlands); 0.27 (Austria); 2.18 (Romania); 0.22 (Spain); 0.02 (Turkey); 0.03 (Europe); 0.35 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=290
3071,Costello syndrome,300.0 (Worldwide); 0.08 (Japan); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3071
763,Pycnodysostosis,0.13 (Worldwide); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=763
2983,Difference of sex development-intellectual disability syndrome,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2983
2301,Congenital short bowel syndrome,43.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2301
469,Hereditary fructose intolerance,5.0 (Europe); 5.0 (Switzerland); 0.0 (Switzerland); 5.0 (United Kingdom); 0.0 (United Kingdom); 3.8 (Germany); 0.0 (Germany); 0.0 (Poland); 3.2 (Poland); 7.5 (Finland); 0.753 (United States); 0.38 (Specific population); 0.1981 (China),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=469
2308,Jacobsen syndrome,1.5 (United States); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2308
2318,Joubert syndrome with oculorenal defect,0.0 (Worldwide); 17.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2318
2253,Foveal hypoplasia-presenile cataract syndrome,11.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2253
2300,Multiple intestinal atresia,0.0 (Worldwide); 4.05 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2300
180226,Embryonal carcinoma,0.01 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180226
502,Trichorhinophalangeal syndrome type 2,0.0 (Worldwide); 100.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=502
180229,Polyembryoma,0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180229
2370,Larsen-like osseous dysplasia-short stature syndrome,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2370
477,KID syndrome,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=477
2346,Angioosteohypertrophic syndrome,0.8 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2346
506,Leigh syndrome,2.8 (Europe); 1.3 (Australia); 0.0 (Worldwide); 2.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=506
2414,Congenital pulmonary lymphangiectasia,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2414
180234,Mixed germ cell tumor,0.01 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180234
2377,Laurence-Moon syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2377
2374,Isolated congenital laryngeal web,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2374
180242,Malignant tumor of fallopian tubes,1.0 (Europe); 0.11 (United Kingdom); 0.15 (Denmark); 0.16 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180242
2466,MASA syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2466
180275,Paget disease of the nipple,0.51 (Europe); 0.065 (Finland); 0.096 (Poland); 0.179 (Austria); 0.433 (Belgium); 0.235 (Bulgaria); 0.192 (Croatia); 0.287 (Czech Republic); 0.434 (Estonia); 0.29 (Germany); 0.682 (Iceland); 0.487 (Ireland); 0.421 (Italy); 0.254 (Latvia); 0.215 (Lithuania); 0.345 (Malta); 0.709 (Norway); 0.209 (Portugal); 0.21 (Slovakia); 0.457 (Slovenia); 0.415 (Spain); 0.394 (Switzerland); 0.335 (Netherlands); 0.637 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=180275
560,Marshall syndrome,17.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=560
570,Moebius syndrome,300.0 (Worldwide); 0.0 (Worldwide); 2.12 (Netherlands); 0.27 (Italy); 0.06 (Italy),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=570
1505,Short rib-polydactyly syndrome,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1505
2444,Congenital pulmonary airway malformation,8.2 (Europe); 2.9 (Belgium); 17.7 (France); 5.9 (Germany); 1.0 (Hungary); 7.2 (Ireland); 1.4 (Italy); 17.1 (Netherlands); 4.9 (Norway); 0.7 (Poland); 3.8 (Spain); 12.3 (Switzerland); 18.1 (United Kingdom); 3.2 (Ukraine); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2444
612,Potassium-aggravated myotonia,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=612
716,Phenylketonuria,"6.0 (France); 10.99 (France); 11.4 (Europe); 11.5079 (Europe); 3.4 (United Kingdom); 10.0 (United Kingdom); 22.0 (Ireland); 22.0 (Ireland); 0.0 (Finland); 0.8928 (Finland); 5.577 (United States); 4.0 (United States); 9.8 (Latin America); 3.5999 (Latin America); 5.5 (Brazil); 4.0 (Brazil); 2.266 (Australia); 8.89 (Australia); 11.9 (Iceland); 11.9 (Iceland); 1.16 (Japan); 0.8 (Japan); 4.412 (China); 6.2798 (China); 2.68 (Thailand); 0.4399 (Thailand); 9.95 (Turkey); 14.99 (Turkey); 7.6 (United Arab Emirates); 6.89 (United Arab Emirates); 20.0 (Jordan); 2.6 (Jordan); 5.4644 (India); 2.439 (Korea, Republic of); 0.862 (Philippines); 1.2 (Singapore); 1.6999 (Taiwan, Province of China); 4.5 (Bahrain); 20.0 (Iran, Islamic Republic of); 6.9998 (Iraq); 15.603 (Israel); 7.02 (Saudi Arabia); 20.0 (Egypt); 13.0005 (Tunisia); 17.349 (Austria); 13.0005 (Belarus); 10.0 (Bosnia and Herzegovina); 3.746 (Bulgaria); 12.0004 (Croatia); 7.6923 (Cyprus); 19.1534 (Czech Republic); 7.4437 (Denmark); 13.9997 (Estonia); 18.6567 (Germany); 9.5969 (Greece); 11.1111 (Hungary); 25.0 (Italy); 12.2399 (Latvia); 10.7526 (Lithuania); 13.5998 (Moldova, Republic of); 8.661 (Netherlands); 8.7282 (Norway); 12.3051 (Poland); 8.0 (Portugal); 10.0 (Romania); 12.9634 (Russian Federation); 8.13 (Serbia); 17.3822 (Slovakia); 4.9 (Slovenia); 9.8366 (Spain); 7.8858 (Sweden); 12.5 (Switzerland); 14.0016 (Ukraine); 6.6666 (Canada); 6.2798 (New Caledonia); 6.2798 (New Zealand); 6.3633 (Argentina); 5.1999 (Chile); 2.0333 (Costa rica); 3.5999 (Mexico); 2.129 (Peru); 2.0 (Cuba); 4.1366 (Worldwide); 13.34 (India); 22.7 (Pakistan); 6.8 (Saudi Arabia); 8.75 (Austria); 16.6 (Estonia); 9.316 (Germany); 4.25 (Greece); 8.5 (Hungary); 7.933 (Italy); 24.6 (North Macedonia); 7.85 (Poland); 6.0 (Portugal); 16.9 (Slovakia); 6.6 (Spain); 7.55 (Chile); 7.271 (Iran, Islamic Republic of); 5.5 (Canada); 5.1 (Korea, Republic of); 1.433 (Taiwan, Province of China); 6.4 (Worldwide)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=716
287,Classical Ehlers-Danlos syndrome,5.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=287
1020,Early-onset autosomal dominant Alzheimer disease,0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1020
63,Alport syndrome,0.0 (Europe); 1.9 (Finland),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=63
54,X-linked recessive ocular albinism,0.58 (Europe); 0.0 (Europe); 0.84 (Denmark); 0.0 (Denmark); 1.0 (United States); 0.0 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=54
154,Familial isolated dilated cardiomyopathy,2.91 (Europe); 17.5 (Europe); 6.0 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=154
84,Fanconi anemia,3.3 (Specific population); 0.3 (Europe); 0.62 (Europe); 2.2 (Israel); 2.5 (Specific population); 2.5 (Specific population); 0.111 (China),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=84
70,Proximal spinal muscular atrophy,2.6 (Europe); 20.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=70
69,Amyloidosis,"0.0 (Worldwide); 1.91 (Korea, Republic of)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=69
191,Cockayne syndrome,0.5 (Europe); 0.2 (Europe); 0.09 (Germany); 0.18 (France); 0.2 (Italy); 0.45 (Netherlands); 0.38 (United Kingdom); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=191
166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,25.0 (Europe); 15.95 (United Kingdom); 61.0 (Norway); 28.2 (Spain); 17.5 (Italy); 19.55 (Sweden); 6.1 (Denmark); 12.0 (Iceland); 10.8 (Japan); 16.0 (Cyprus); 9.7 (Serbia),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166
834,Free sialic acid storage disease,0.0 (Worldwide); 130.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=834
799,Schizencephaly,1.48 (United Kingdom); 1.54 (United States); 0.0 (Europe); 1.0 (Japan),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=799
3151,Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3151
178566,Mycosis fungoides and variants,0.59 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178566
813,Silver-Russell syndrome,15.5 (Europe); 0.0 (United Kingdom); 1.0 (United Kingdom); 0.7 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=813
3169,Sirenomelia,0.98 (Worldwide); 0.01 (Worldwide); 0.71 (Europe); 0.009 (Europe); 1.04 (France); 0.62 (Italy); 0.64 (Spain); 0.54 (Netherlands); 0.7 (Finland); 0.31 (Slovakia); 0.33 (Hungary); 0.74 (United States); 1.6 (Canada); 0.83 (China); 0.79 (Australia); 2.36 (Mexico); 1.36 (Latin America); 12.0 (Colombia); 0.98 (Brazil),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3169
816,Sjögren-Larsson syndrome,"0.6 (Sweden); 16.0 (Taiwan, Province of China); 0.0 (Europe)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=816
821,Sotos syndrome,7.1 (Worldwide); 0.0 (Worldwide); 0.5 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=821
3173,Infantile spasms-broad thumbs syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3173
3204,Stormorken-Sjaastad-Langslet syndrome,17.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3204
3205,Sturge-Weber syndrome,3.5 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3205
3320,Thrombocytopenia-absent radius syndrome,0.5 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3320
3346,Tracheal agenesis,2.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3346
858,Congenital toxoplasmosis,"33.0 (Europe); 30.0 (France); 1.0 (Greece); 2.2 (United Kingdom); 7.3 (Sweden); 30.0 (Denmark); 50.0 (Switzerland); 130.0 (Germany); 113.0 (Poland); 40.0 (Brazil); 138.0 (Italy); 55.0 (United States); 0.0 (Worldwide); 640.0 (Iran, Islamic Republic of)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=858
887,VACTERL/VATER association,6.25 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=887
291,Congenital varicella syndrome,130.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=291
909,Cerebrotendinous xanthomatosis,2.0 (Specific population); 0.056 (Spain); 4.0 (United States); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=909
3447,Weaver syndrome,48.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3447
1422,Chondrodysplasia-difference of sex development syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1422
178478,Infant botulism,0.2 (Europe); 0.3 (Europe); 2.1 (United States); 2.2 (Argentina); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178478
178481,Intestinal botulism,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178481
178475,Wound botulism,0.1 (Europe); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178475
178461,X-linked myopathy with postural muscle atrophy,7.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178461
178464,Hereditary myopathy with early respiratory failure,10.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=178464
